pop_label,network_code,N,seed,dominant_group,cost_norm_mean,cost_norm_day29,adjustment_mean
Habitual,500b,500,6,Habit-driven,8.766961270361888,8.626046752312575,0.9132981681821594
Habitual,500b,500,6,Price-responsive,7.897927025940148,6.823581964744244,3.4065737224979413
Habitual,500b,500,6,Social-influenced,8.770494508432842,8.115728914436916,1.1139425113636046
Habitual,500b,500,7,Habit-driven,8.76034838552948,8.52392612527965,0.8877829022473118
Habitual,500b,500,7,Price-responsive,7.904735139483093,6.675315652839423,3.3059382368568233
Habitual,500b,500,7,Social-influenced,8.777886986819025,8.686374503362957,0.9926644922108898
Habitual,500b,500,8,Habit-driven,8.777776037770824,8.602939404624834,0.9437803193984845
Habitual,500b,500,8,Price-responsive,7.961259690292629,7.236251218559388,3.309626873868049
Habitual,500b,500,8,Social-influenced,8.717886472981167,8.620990009469747,1.1327813683692214
Habitual,500b,500,9,Habit-driven,8.739711094935654,8.52528706281651,0.9508127398432193
Habitual,500b,500,9,Price-responsive,7.8731531341198755,7.6366979801325625,3.291221376709732
Habitual,500b,500,9,Social-influenced,8.73949829786727,8.60626191730017,0.9953690214907743
Habitual,500b,500,10,Habit-driven,8.808301414378722,8.654591900927114,0.9239610712660424
Habitual,500b,500,10,Price-responsive,7.861377688915654,7.0705837712922035,3.3508559202371155
Habitual,500b,500,10,Social-influenced,8.846255136229301,8.699710691463936,1.0279816457220448
Habitual,500c,500,1,Habit-driven,8.805267804704856,8.708996139665757,0.9203999628240693
Habitual,500c,500,1,Price-responsive,7.9506530191611215,7.39475174454056,3.162889595206691
Habitual,500c,500,1,Social-influenced,8.828070912941957,8.977553297014046,1.0211330352508179
Habitual,500c,500,2,Habit-driven,8.80604145807224,8.68777903436992,0.8840145072607217
Habitual,500c,500,2,Price-responsive,8.026167664575892,7.6032077193661936,3.30850509064086
Habitual,500c,500,2,Social-influenced,8.81538179208672,8.484802143713473,0.9677820395940933
Habitual,500c,500,3,Habit-driven,8.772421961264525,8.574551911289634,0.8950894691216815
Habitual,500c,500,3,Price-responsive,7.972154932765219,7.200567830130792,3.2919250927358545
Habitual,500c,500,3,Social-influenced,8.783526708042823,8.986106193081824,0.9432566951829354
Habitual,500c,500,4,Habit-driven,8.69385155897893,8.63279835606953,0.9259886011059317
Habitual,500c,500,4,Price-responsive,7.876431299592301,7.213459585359531,3.2839266845812336
Habitual,500c,500,4,Social-influenced,8.799721613692274,8.650695511177744,1.04699583935354
Habitual,500c,500,5,Habit-driven,8.79430493920452,8.63485514123225,0.9218563405797245
Habitual,500c,500,5,Price-responsive,8.000508514729933,7.176649305252341,3.277137478290355
Habitual,500c,500,5,Social-influenced,8.88874373404956,8.89233924809111,0.9605682959333153
Habitual,500c,500,6,Habit-driven,8.768255538356296,8.5711188238741,0.9173958008361256
Habitual,500c,500,6,Price-responsive,7.883951349533162,6.535739071824647,3.4179419397346202
Habitual,500c,500,6,Social-influenced,8.816359845533691,8.696194820628433,1.0618452171982138
Habitual,500c,500,7,Habit-driven,8.765586375368766,8.497639941039239,0.889111632415344
Habitual,500c,500,7,Price-responsive,7.894590395542531,6.7172428309985674,3.3127917755921863
Habitual,500c,500,7,Social-influenced,8.779807191331411,8.751054146233711,0.9747721077496376
Habitual,500c,500,8,Habit-driven,8.7734126462835,8.643541236978589,0.9424567050847958
Habitual,500c,500,8,Price-responsive,7.941162796244586,7.127556530413503,3.2910394870687334
Habitual,500c,500,8,Social-influenced,8.722930416993021,8.782690662484876,1.1485181108579376
Habitual,500c,500,9,Habit-driven,8.744443671303191,8.649169304508675,0.9577018949344519
Habitual,500c,500,9,Price-responsive,7.8619947126746546,7.536997165451862,3.3073227503965956
Habitual,500c,500,9,Social-influenced,8.742714246947621,8.746608888864952,0.9784752406193423
Habitual,500c,500,10,Habit-driven,8.799186960020142,8.626678579639806,0.919230733948535
Habitual,500c,500,10,Price-responsive,7.85601652156779,7.178161151286144,3.3402948408795647
Habitual,500c,500,10,Social-influenced,8.818558134754843,8.545215937685397,0.9654955481430454
Progressive,500a,500,1,Habit-driven,8.685467641944063,8.418991823723362,1.1065380659140378
Progressive,500a,500,1,Price-responsive,7.925271773565373,7.296933290109552,3.3286292863780425
